date,text,place
Fri Jul 22 20:58:43 +0000 2016,RT @dopeislandvines: My attempt to hatch my Pokemon Go eggs until I used the PokeHelper link in my bio! Works wonders!! https://t.co/0UCWEt?,NA
Fri Jul 22 20:58:43 +0000 2016,"RT @differentoceans: I translated this cute message left for Pokemon Go players at Miyazaki Shrine in Hiroshima, Japan! https://t.co/mX5cCs?",NA
Fri Jul 22 20:58:43 +0000 2016,RT @amanda_m_macias: State Dept. spokesman calls out a reporter for playing Pokemon Go during a briefing: https://t.co/aamZTYbw98 https://t?,NA
Fri Jul 22 20:58:43 +0000 2016,"The Wilkes Barre Police seriously had to make a post about pokemon go warning people that the city has a curfew, fuck off",NA
Fri Jul 22 20:58:43 +0000 2016,I liked a @YouTube video from @trendcrave https://t.co/mlxWTOtbKw Top 5 Times When Playing POKEMON GO Went HORRIBLY WRONG,NA
Fri Jul 22 20:58:44 +0000 2016,@ncbjd I feel like it would be all over every news outlet if it was a death due to Pokemon Go.,NA
Fri Jul 22 20:58:44 +0000 2016,"@thinkB1G 9 months later, and I'm back on the Twitter wagon.  Figure it beats Pokemon Go...or not ;-)",NA
Fri Jul 22 20:58:45 +0000 2016,RT @PokemonAppNews: Pokemon GO Servers And Pokemon Trainer Club Servers Are Still Unstable And Still Likely To Crash.  #Pokemon #PokemonGO?,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
Fri Jul 22 20:58:45 +0000 2016,RT @ShwayAnime: When youve been tracking a pokemon on GO for 20 minutes and it just disappears https://t.co/yMjktB8lha,NA
